Title,Precio_USD,Fecha_de_publicacion,Visualizaciones,Dimension_terreno,Dimension_propiedad,Ambientes,Banos,Dormitorios,Tipo,Años_antiguedad,Operacion,Zona,Zona2,Superdestacado
PH · 45m² · 2 Ambientes,55000,2/8/23,0,45,45,2,1,1,PH,"60
años",Venta,Capital Federal,San Cristobal,simple
Departamento · 49m² · 2 Ambientes · 1 Cochera,250000,2023-05-26T03:56:22.000Z,0,55,49,2,1,1,Departamento,0 años,Venta,Capital Federal,Belgrano,simple
Departamento · 250m² · 6 Ambientes,2200,3/6/23,0,250,250,6,4,3,Departamento,"90
años",Alquiler,Capital Federal,Recoleta,superdestacado
,499000,7/21/23,0,400,300,6,4,5,Casa,"30
Años",Venta,Capital Federal,Barracas,superdestacado
,220000,8/29/18,0,180,150,3,0,2,PH,"20
Años",Venta,Capital Federal,Barracas,superdestacado
Departamento · 32m² · 1 Ambiente,75000,2023-02-15T13:51:35.000Z,0,38,32,1,1,0,Departamento,0 años,Venta,Capital Federal,Caballito,simple
Departamento · 50m² · 2 Ambientes,650,8/17/23,36,65,50,2,1,1,Departamento,"2
años",Alquiler Temporal,Capital Federal,Palermo,destacado
Atrium Boulevard,173800,10/3/23,63,77,60,3,1,0,Desarrollos inmobiliarios en venta,,Venta,Capital Federal,Villa Urquiza,superdestacado
Departamento · 56m² · 3 Ambientes,114000,2/16/23,0,61,56,3,1,2,Departamento,En construccion,Venta,Capital Federal,Caballito,simple
Departamento · 246m² · 6 Ambientes · 1 Cochera,850000,4/19/23,0,276,246,6,3,4,Departamento,"65
años",Venta,Capital Federal,Palermo,superdestacado
Departamento · 38m² · 2 Ambientes,110500,2023-07-03T23:02:32.000Z,16,46,38,2,1,1,Departamento,0 años,Venta,Capital Federal,Núñez,superdestacado
Departamento · 182m² · 5 Ambientes,290000,5/3/23,0,182,182,5,2,1,Departamento,"80
años",Venta,Capital Federal,Monserrat,simple
Departamento · 40m² · 2 Ambientes,80000,12/15/22,0,43,40,2,1,1,Departamento,0 años,Venta,Capital Federal,Villa Pueyrredón,superdestacado
Departamento · 37m² · 2 Ambientes,80000,2/14/23,0,74,37,2,1,1,Departamento,"43
años",Venta,Capital Federal,Caballito,simple
Casa · 128m² · 3 Ambientes · 1 Cochera,240000,3/29/22,0,208,128,3,0,2,Casa,"59
años",Venta,Capital Federal,Villa Devoto,destacado
Departamento · 49m² · 2 Ambientes,98000,2022-09-08T17:58:49.000Z,0,54,49,2,1,1,Departamento,En construccion,Venta,Capital Federal,Villa Crespo,simple
Departamento · 55m² · 2 Ambientes,700,4/25/23,0,55,55,2,1,1,Departamento,0 años,Alquiler Temporal,Capital Federal,Caballito,simple
Local comercial · 220m²,550000,2023-02-10T13:29:43.000Z,0,220,220,0,0,0,Local Comercial,0 años,Venta,Capital Federal,Villa Crespo,simple
Departamento · 120m² · 4 Ambientes,350000,3/14/23,0,128,120,4,1,2,Departamento,"70
años",Venta,Capital Federal,Recoleta,superdestacado
Departamento · 23m² · 1 Ambiente,63000,2022-05-31T21:40:49.000Z,47,30,23,1,1,0,Departamento,0 años,Venta,Capital Federal,Villa Crespo,simple
PH · 60m² · 3 Ambientes,115000,2022-12-14T14:04:20.000Z,101,90,60,3,1,2,PH,,Venta,Capital Federal,Monte Castro,simple
Oficina comercial · 280m² · 1 Ambiente,300000,2022-07-11T19:11:22.000Z,0,280,280,1,3,10,Local Comercial,"20
años",Venta,Capital Federal,Balvanera,simple
Departamento · 41m² · 2 Ambientes,68000,10/22/21,0,41,41,2,1,1,Departamento,"45
años",Venta,Capital Federal,Palermo,simple
Local comercial · 20m²,167,2023-07-24T21:17:52.000Z,147,55,20,0,0,0,Local Comercial,,Alquiler,Capital Federal,Palermo,simple
Departamento · 120m² · 4 Ambientes,900,2023-05-24T13:47:16.000Z,0,150,120,4,3,3,Departamento,"30
años",Alquiler Temporal,Capital Federal,Barrio Norte,simple
Departamento · 166m² · 4 Ambientes,473000,4/14/23,0,378,166,4,3,3,Departamento,"1
años",Venta,Capital Federal,Villa del Parque,simple
Departamento · 43m² · 2 Ambientes,145000,2023-04-27T17:36:46.000Z,17,48,43,2,1,1,Departamento,0 años,Venta,Capital Federal,Palermo,destacado
Departamento · 37m² · 1 Ambiente,350,2022-03-16T15:46:44.000Z,117,37,37,1,1,0,Departamento,"2
años",Alquiler,Capital Federal,Palermo,simple
Departamento · 37m² · 2 Ambientes,126000,3/14/22,0,41,37,2,1,1,Departamento,"7
años",Venta,Capital Federal,Caballito,simple
Departamento · 75m² · 3 Ambientes,198000,3/16/23,0,82,75,3,2,2,Departamento,"40
años",Venta,Capital Federal,Barrio Norte,superdestacado
Casa · 198m² · 5 Ambientes · 1 Cochera,395000,2023-09-01T21:14:10.000Z,118,294,198,5,3,3,Casa,0 años,Venta,Capital Federal,Palermo,superdestacado
Garage · 12m² · 1 Cochera,19000,4/19/23,0,12,12,0,0,0,Cochera,"8
años",Venta,Capital Federal,Belgrano,superdestacado
Departamento · 80m² · 3 Ambientes,90000,2023-04-17T13:17:51.000Z,35,88,80,3,2,2,Departamento,En construccion,Venta,Capital Federal,San Cristobal,simple
PH · 66m² · 3 Ambientes,105000,2022-08-25T23:26:20.000Z,106,77,66,3,0,2,PH,"40
años",Venta,Capital Federal,Villa Devoto,simple
Departamento · 51m² · 2 Ambientes,179,5/22/23,0,70,51,2,2,1,Departamento,0 años,Alquiler,Capital Federal,Barracas,simple
Departamento · 50m² · 2 Ambientes,145000,1/17/23,0,56,50,2,1,1,Departamento,En construccion,Venta,Capital Federal,Palermo,simple
Departamento · 43m² · 2 Ambientes,114900,2023-01-18T12:39:58.000Z,30,47,43,2,1,1,Departamento,"12
años",Venta,Capital Federal,Coghlan,superdestacado
Casa · 220m² · 5 Ambientes,310000,2022-08-05T15:01:40.000Z,33,150,220,5,2,4,Casa,"66
años",Venta,Capital Federal,Villa Urquiza,simple
Casa · 164m² · 3 Ambientes · 1 Cochera,160000,9/22/22,0,164,164,3,1,2,Casa,"63
años",Venta,Capital Federal,Floresta,simple
Departamento · 126m² · 3 Ambientes · 2 Cocheras,2500,2023-08-08T19:15:00.000Z,140,149,126,3,3,2,Departamento,"6
años",Alquiler,Capital Federal,Recoleta,simple
Departamento · 70m² · 3 Ambientes,172000,8/8/23,0,85,70,3,2,2,Departamento,0 años,Venta,Capital Federal,Villa Devoto,simple
Departamento · 250m² · 5 Ambientes · 2 Cocheras,990000,2023-07-19T18:41:20.000Z,109,250,250,5,2,3,Departamento,"35
años",Venta,Capital Federal,Palermo,superdestacado
Departamento · 35m² · 2 Ambientes,95000,10/8/20,0,39,35,2,1,1,Departamento,"50
años",Venta,Capital Federal,Belgrano,simple
Departamento · 45m² · 2 Ambientes,146070,2022-12-14T22:42:30.000Z,0,54,45,2,1,1,Departamento,0 años,Venta,Capital Federal,Palermo,superdestacado
Departamento · 206m² · 4 Ambientes · 2 Cocheras,0,2023-05-11T16:42:51.000Z,0,213,206,4,3,3,Departamento,0 años,Venta,Capital Federal,Palermo,simple
Departamento · 21m² · 1 Ambiente,39900,5/3/22,0,21,21,1,1,0,Departamento,0 años,Venta,Capital Federal,Villa Crespo,simple
Departamento · 82m² · 3 Ambientes,235900,2023-05-16T15:31:14.000Z,40,98,82,3,2,2,Departamento,En construccion,Venta,Capital Federal,Núñez,superdestacado
Departamento · 130m² · 4 Ambientes · 1 Cochera,410000,2023-08-04T22:44:05.000Z,43,130,130,4,2,3,Departamento,"11
años",Venta,Capital Federal,Núñez,superdestacado
Departamento · 55m² · 3 Ambientes · 1 Cochera,1200,3/28/23,0,60,55,3,2,2,Departamento,"10
años",Alquiler,Capital Federal,Palermo,superdestacado
Departamento · 14m² · 1 Ambiente,89,4/29/23,0,14,14,1,1,0,Departamento,"13
años",Alquiler Temporal,Capital Federal,Pompeya,simple
Departamento · 30m² · 1 Ambiente,89800,2023-06-23T14:38:25.000Z,44,36,30,1,1,0,Departamento,0 años,Venta,Capital Federal,Palermo,superdestacado
Departamento · 44m² · 2 Ambientes,85000,2023-08-03T17:14:08.000Z,0,50,44,2,1,1,Departamento,"1
años",Venta,Capital Federal,Floresta,simple
Departamento · 44m² · 2 Ambientes,110000,2022-10-11T13:00:37.000Z,0,52,44,2,1,1,Departamento,En construccion,Venta,Capital Federal,Núñez,simple
Fondo de Comercio · 25m² · 1 Ambiente,6000,8/24/22,0,25,25,1,1,0,Fondo de Comercio,"1
años",Venta,Capital Federal,Villa Santa Rita,simple
Local comercial · 200m² · 3 Ambientes,396000,10/26/21,0,200,200,3,2,0,Local Comercial,"55
años",Venta,Capital Federal,Palermo,free
Oficina comercial · 80m² · 3 Ambientes,70000,2023-04-05T00:06:14.000Z,105,80,80,3,1,0,Local Comercial,"75
años",Venta,Capital Federal,Centro / Microcentro,superdestacado
Casa · 290m² · 5 Ambientes · 1 Cochera,446,2023-07-14T15:59:55.000Z,560,405,290,5,3,4,Casa,"40
años",Alquiler,Capital Federal,Boedo,destacado
Oficina comercial · 42m² · 2 Ambientes,145,2023-08-22T15:01:03.000Z,342,42,42,2,1,0,Local Comercial,"15
años",Alquiler,Capital Federal,Colegiales,simple
Oficina comercial · 1187m² · 11 Cocheras,38004,2021-04-16T20:51:40.000Z,0,1187,1187,0,0,0,Local Comercial,0 años,Alquiler,Capital Federal,Catalinas,simple
Departamento · 104m² · 3 Ambientes · 1 Cochera,298000,1/16/23,0,104,104,3,2,2,Departamento,"23
años",Venta,Capital Federal,Núñez,superdestacado
Departamento · 37m² · 2 Ambientes,48900,4/8/23,0,37,37,2,1,1,Departamento,"50
años",Venta,Capital Federal,Caballito,simple
Departamento · 100m² · 4 Ambientes · 1 Cochera,280000,3/27/23,0,113,100,4,3,3,Departamento,"18
años",Venta,Capital Federal,Belgrano,free
Bodega-Galpón · 140m² · 3 Ambientes · 10 Cocheras,130000,2023-04-11T18:32:14.000Z,51,150,140,3,2,0,Bodega-Galpón,"40
años",Venta,Capital Federal,Versalles,superdestacado
Departamento · 43m² · 2 Ambientes · 1 Cochera,125000,2023-01-24T18:39:35.000Z,16,46,43,2,1,0,Departamento,0 años,Venta,Capital Federal,Colegiales,simple
Departamento · 43m² · 2 Ambientes · 1 Cochera,123000,2023-01-14T21:49:54.000Z,74,47,43,2,1,1,Departamento,"18
años",Venta,Capital Federal,Palermo,destacado
Oficina comercial · 1000m²,2232,2023-09-01T20:40:57.000Z,0,1000,1000,0,3,0,Local Comercial,0 años,Alquiler,Capital Federal,San Telmo,simple
Departamento · 112m² · 4 Ambientes,397680,2022-12-01T17:10:17.000Z,0,120,112,4,3,3,Departamento,,Venta,Capital Federal,Saavedra,simple
Departamento · 96m² · 3 Ambientes,184000,2023-07-12T16:28:27.000Z,209,103,96,3,1,2,Departamento,"60
años",Venta,Capital Federal,Recoleta,superdestacado
Departamento · 120m² · 3 Ambientes · 1 Cochera,449000,2023-02-07T18:34:40.000Z,119,143,120,3,3,2,Departamento,"8
años",Venta,Capital Federal,Belgrano,simple
Departamento · 73m² · 3 Ambientes,166399,11/2/22,0,81,73,3,1,2,Departamento,0 años,Venta,Capital Federal,Almagro,simple
Departamento · 59m² · 3 Ambientes,122000,6/22/21,0,62,59,3,1,2,Departamento,"55
años",Venta,Capital Federal,Once,simple
Oficina comercial · 4234m² · 9 Ambientes,0,1/27/23,0,4234,4234,9,18,8,Local Comercial,"80
años",Alquiler,Capital Federal,Centro / Microcentro,simple
Departamento · 75m² · 3 Ambientes,139000,2023-05-12T15:07:30.000Z,40,88,75,3,1,2,Departamento,"47
años",Venta,Capital Federal,Parque Chacabuco,simple
Departamento · 350m² · 9 Ambientes · 2 Cocheras,890000,2021-11-03T20:17:47.000Z,27,500,350,9,5,5,Departamento,"20
años",Venta,Capital Federal,Núñez,simple
Departamento · 160m² · 4 Ambientes · 1 Cochera,495000,3/31/23,0,165,160,4,2,3,Departamento,"50
años",Venta,Capital Federal,Palermo,superdestacado
,94800,7/29/19,156,120,65,3,1,2,Casa,0 años,Venta,Capital Federal,Velez Sarsfield,simple
,16731,10/21/21,0,1521,1521,0,2,0,Local Comercial,0 años,Alquiler,Capital Federal,Centro / Microcentro,superdestacado
,175000,12/9/21,0,52,52,3,1,2,Departamento,"40
años",Venta,Capital Federal,Belgrano,superdestacado
,159000,4/3/23,0,74,66,3,1,2,Departamento,En construccion,Venta,Capital Federal,Villa Crespo,destacado
,90000,12/2/21,0,57,52,3,1,2,PH,"45
años",Venta,Capital Federal,Liniers,simple
,495000,5/16/23,31,234,135,3,2,0,Departamento,0 años,Venta,Capital Federal,Núñez,simple
,2592,5/4/23,17,144,144,0,2,0,Local Comercial,"9
años",Alquiler,Capital Federal,Puerto Madero,simple
,3800000,5/10/23,30,845,735,12,6,7,Edificio,"39
años",Venta,Capital Federal,Recoleta,simple
,195000,4/21/23,17,124,96,4,2,3,Departamento,"75
años",Venta,Capital Federal,Once,superdestacado
,96000,4/30/19,0,32,29,1,1,0,Departamento,"5
años",Venta,Capital Federal,Villa Urquiza,simple
,339748,5/7/22,0,99,48,3,2,2,Departamento,,Venta,Capital Federal,Palermo,simple
,169000,11/23/21,47,65,65,2,1,1,Departamento,"3
años",Venta,Capital Federal,Villa Urquiza,superdestacado
,200000,2/7/23,18,0,140,4,2,3,Casa,"60
años",Venta,Capital Federal,Villa Luro,simple
,158000,4/21/22,0,80,65,3,1,2,Departamento,"70
años",Venta,Capital Federal,Retiro,simple
,162000,5/19/23,0,59,55,3,1,2,Departamento,,Venta,Capital Federal,Palermo,superdestacado
,280000,6/3/21,52,230,200,4,2,3,PH,"12
años",Venta,Capital Federal,Liniers,simple
,65000,4/26/23,67,42,42,2,1,1,Departamento,"11
años",Venta,Capital Federal,San Cristobal,superdestacado
,122000,3/20/23,29,70,70,3,1,2,Departamento,"50
años",Venta,Capital Federal,Caballito,simple
,9000,3/8/23,0,509,509,1,5,0,Local Comercial,0 años,Alquiler,Capital Federal,Palermo,superdestacado
,169000,7/27/20,68,85,74,4,2,3,Departamento,"35
años",Venta,Capital Federal,Villa Urquiza,simple
,420000,4/5/23,0,423,423,0,2,12,Local Comercial,"80
años",Venta,Capital Federal,Centro / Microcentro,superdestacado
,42000,5/7/21,277,41,41,2,1,1,Departamento,"50
años",Venta,Capital Federal,Balvanera,simple
,1600,2/16/23,0,38,38,2,1,1,Departamento,0 años,Alquiler Temporal,Capital Federal,Palermo,simple
,269000,4/18/23,22,189,123,4,2,3,Casa,,Venta,Capital Federal,Villa Devoto,simple
,229000,5/11/23,0,60,60,3,1,2,Departamento,0 años,Venta,Capital Federal,Palermo,superdestacado
,147000,6/14/22,62,112,100,3,2,2,PH,"40
años",Venta,Capital Federal,Villa Real,simple
,465000,10/22/21,0,300,250,6,3,4,Casa,"10
años",Venta,Capital Federal,Villa Luro,simple
,0,2/3/21,16,62,62,3,1,2,Departamento,"80
años",Venta,Capital Federal,Monserrat,simple
,263000,1/15/20,30,90,85,4,2,3,Departamento,"43
años",Venta,Capital Federal,Belgrano,simple
,89000,9/22/22,51,121,65,2,1,1,Departamento,"50
años",Venta,Capital Federal,Mataderos,simple
,84000,12/21/17,441,113,102,4,1,3,PH,"70
años",Venta,Capital Federal,Almagro,superdestacado
,2500,10/16/22,0,75,70,2,1,1,Departamento,"10
años",Alquiler Temporal,Capital Federal,Puerto Madero,superdestacado
,175000,1/23/23,64,84,84,4,2,3,Departamento,0 años,Venta,Capital Federal,Coghlan,simple
,320000,10/26/22,24,185,177,5,2,3,Departamento,"50
años",Venta,Capital Federal,Barrio Norte,superdestacado
,168000,4/20/22,17,64,51,2,1,1,Departamento,0 años,Venta,Capital Federal,Palermo,superdestacado
,92000,10/19/21,0,73,73,3,1,2,PH,0 años,Venta,Capital Federal,San Cristobal,simple
,220000,1/15/22,0,467,347,5,2,4,Casa,,Venta,Capital Federal,Villa Soldati,simple
,92000,7/23/21,0,47,47,2,1,1,Departamento,"40
años",Venta,Capital Federal,Flores,simple
,98000,4/7/22,20,245,139,4,1,2,Casa,"54
años",Venta,Capital Federal,Pompeya,simple
,75600,5/11/21,47,65,63,3,1,2,Departamento,"20
años",Venta,Capital Federal,Pompeya,superdestacado
,119900,4/3/23,16,50,42,2,1,1,Departamento,"14
años",Venta,Capital Federal,Caballito,simple
,59000,11/26/21,337,43,43,2,1,1,Departamento,"25
años",Venta,Capital Federal,Villa del Parque,superdestacado
,325000,10/13/20,23,158,158,4,3,3,Departamento,"28
años",Venta,Capital Federal,Caballito,destacado
,82150,8/26/22,0,53,0,1,1,1,Departamento,En construccion,Venta,Capital Federal,Saavedra,simple
,79900,11/18/21,275,90,90,3,1,2,Departamento,"70
años",Venta,Capital Federal,Once,simple
,400,1/2/23,46,38,35,1,1,0,Departamento,"15
años",Alquiler Temporal,Capital Federal,Almagro,simple
,360000,11/18/22,21,228,228,5,2,3,Casa,"38
años",Venta,Capital Federal,Villa Luro,destacado
,210000,11/27/20,25,108,98,4,3,3,Departamento,"55
años",Venta,Capital Federal,Recoleta,simple
,2490000,12/31/22,0,1366,1366,0,18,0,Local Comercial,0 años,Venta,Capital Federal,Centro / Microcentro,simple
Oficina comercial · 143m² · 6 Ambientes,70000,2022-11-03T18:51:03.000Z,19,143,143,6,2,0,Local Comercial,"45
años",Venta,Capital Federal,Centro / Microcentro,simple
Departamento · 173m² · 4 Ambientes · 1 Cochera,445000,4/5/23,0,173,173,4,4,3,Departamento,"25
años",Venta,Capital Federal,Belgrano,superdestacado
Departamento · 30m² · 1 Ambiente,92000,1/25/23,0,32,30,1,1,0,Departamento,"5
años",Venta,Capital Federal,Villa Urquiza,superdestacado
PH · 70m² · 4 Ambientes,129000,2023-03-15T18:11:25.000Z,343,80,70,4,1,2,PH,"15
años",Venta,Capital Federal,Villa Pueyrredón,superdestacado
Departamento · 44m² · 2 Ambientes,99000,2/13/23,0,70,44,2,1,1,Departamento,0 años,Venta,Capital Federal,Mataderos,simple
Departamento · 178m² · 3 Ambientes · 2 Cocheras,1190000,10/13/20,0,197,178,3,4,2,Departamento,0 años,Venta,Capital Federal,Puerto Madero,superdestacado
,145900,1/31/23,34,249,103,3,2,2,PH,"90
años",Venta,Capital Federal,Floresta,simple
,170000,3/27/22,22,99,99,4,1,4,Departamento,"20
años",Venta,Capital Federal,San Cristobal,simple
,83000,8/17/18,0,38,36,1,1,1,Departamento,0 años,Venta,Capital Federal,San Cristobal,simple
Casa · 126m² · 4 Ambientes,149000,2023-04-13T20:00:08.000Z,91,174,126,4,1,3,Casa,"73
años",Venta,Capital Federal,Flores,simple
,2500,5/12/23,15,250,250,0,2,0,Local Comercial,"30
años",Alquiler,Capital Federal,Retiro,superdestacado
,112800,8/26/20,0,50,46,2,1,1,Departamento,0 años,Venta,Capital Federal,Villa Crespo,simple
,426000,8/12/21,0,74,70,4,2,3,Departamento,En construccion,Venta,Capital Federal,Flores,simple
,99000,11/15/22,137,40,40,2,1,1,Departamento,"40
años",Venta,Capital Federal,Barrio Norte,superdestacado
,265000,3/6/23,0,77,66,3,1,2,Departamento,"6
años",Venta,Capital Federal,Caballito,simple
,650000,3/14/22,109,190,178,4,2,3,Departamento,"50
años",Venta,Capital Federal,Belgrano,superdestacado
,430000,4/27/23,135,245,195,4,2,2,PH,"5
años",Venta,Capital Federal,Caballito,destacado
,180000,7/14/22,0,80,75,4,1,3,Departamento,"45
años",Venta,Capital Federal,Flores,simple
,239000,6/14/22,0,225,196,3,1,2,Terrenos,"80
años",Venta,Capital Federal,Liniers,simple
Departamento · 258m² · 5 Ambientes · 1 Cochera,1600000,12/13/22,0,258,258,5,2,4,Departamento,,Venta,Capital Federal,Palermo,simple
Departamento · 250m² · 6 Ambientes · 1 Cochera,2000,2023-03-11T02:36:04.000Z,33,250,250,6,2,4,Departamento,"66
años",Alquiler,Capital Federal,Retiro,superdestacado
Departamento · 60m² · 3 Ambientes,139000,6/22/21,0,60,60,3,1,2,Departamento,"35
años",Venta,Capital Federal,Belgrano,simple
Departamento · 55m² · 3 Ambientes,98000,1/16/23,63,55,55,3,1,2,Departamento,"40
años",Venta,Capital Federal,Belgrano,superdestacado
Departamento · 135m² · 4 Ambientes,230000,8/11/23,144,135,135,4,1,3,Departamento,"50
años",Venta,Capital Federal,Recoleta,simple
Departamento · 157m² · 5 Ambientes · 1 Cochera,420000,8/24/23,91,157,157,5,2,4,Departamento,"35
años",Venta,Capital Federal,Belgrano,superdestacado
PH · 90m² · 3 Ambientes,164000,9/2/22,0,90,90,3,1,2,PH,"60
años",Venta,Capital Federal,Palermo,simple
,108999,11/4/22,0,45,45,0,1,0,Local Comercial,"40
años",Venta,Capital Federal,La Paternal,simple
,105000,6/6/22,23,39,0,2,1,1,Departamento,0 años,Venta,Capital Federal,Saavedra,superdestacado
,84000,5/8/23,0,30,30,1,1,0,Departamento,0 años,Venta,Capital Federal,Monserrat,simple
,770,7/9/16,194,71,62,2,2,1,Departamento,"8
años",Alquiler,Capital Federal,Palermo,destacado
,85000,4/14/23,0,52,52,3,1,2,Departamento,"55
años",Venta,Capital Federal,Villa del Parque,simple
Casa · 92m² · 4 Ambientes · 1 Cochera,265000,2018-07-10T15:26:02.000Z,0,92,92,4,2,3,Casa,"10
años",Venta,Capital Federal,Parque Chacabuco,simple
Departamento · 90m² · 4 Ambientes · 1 Cochera,245000,2023-07-30T20:49:36.000Z,223,116,90,4,2,3,Departamento,"8
años",Venta,Capital Federal,Coghlan,superdestacado
Departamento · 57m² · 2 Ambientes,142000,4/2/23,0,68,57,2,1,1,Departamento,0 años,Venta,Capital Federal,Belgrano,superdestacado
Oficina comercial · 105m²,134,2022-11-22T19:57:03.000Z,38,105,105,0,0,0,Local Comercial,,Alquiler,Capital Federal,Monserrat,simple
Departamento · 75m² · 2 Ambientes · 1 Cochera,1000,2023-06-29T15:16:50.000Z,20,75,75,2,2,1,Departamento,"10
años",Alquiler Temporal,Capital Federal,Núñez,superdestacado
,165000,5/11/22,24,100,100,2,1,1,Departamento,"10
años",Venta,Capital Federal,Flores,superdestacado
,75000,3/22/23,183,30,30,1,1,0,Departamento,"30
años",Venta,Capital Federal,Recoleta,simple
,140000,2/28/23,22,160,110,5,2,3,PH,"20
años",Venta,Capital Federal,Mataderos,simple
,140000,9/24/21,0,41,37,2,1,1,Departamento,"10
años",Venta,Capital Federal,Abasto,simple
,189000,3/26/23,52,141,90,3,1,2,Casa,"40
años",Venta,Capital Federal,Monte Castro,simple
,85000,4/18/23,0,40,38,1,1,0,Departamento,0 años,Venta,Capital Federal,Caballito,simple
,239000,4/4/23,160,160,93,3,2,2,Departamento,"40
años",Venta,Capital Federal,Coghlan,simple
,117000,3/5/23,0,50,50,2,1,1,Departamento,0 años,Venta,Capital Federal,Villa Devoto,destacado
,60000,11/14/22,27,26,26,1,1,1,Departamento,0 años,Venta,Capital Federal,Retiro,simple
Departamento · 148m² · 4 Ambientes · 1 Cochera,385000,2023-03-02T18:26:00.000Z,33,162,148,4,3,3,Departamento,"48
años",Venta,Capital Federal,Barrio Norte,simple
Departamento · 65m² · 3 Ambientes · 1 Cochera,230000,7/1/21,0,75,65,3,1,2,Departamento,"50
años",Venta,Capital Federal,Palermo,destacado
Departamento · 95m² · 4 Ambientes · 1 Cochera,250000,2023-07-12T20:34:20.000Z,64,110,95,4,2,3,Departamento,"45
años",Venta,Capital Federal,Palermo,superdestacado
Departamento · 145m² · 4 Ambientes · 1 Cochera,3500,2022-02-11T18:12:31.000Z,22,145,145,4,2,2,Departamento,"20
años",Alquiler,Capital Federal,Palermo,simple
,245000,1/18/21,28,247,247,0,0,0,Terrenos,"70
años",Venta,Capital Federal,Villa Urquiza,destacado
,60000,6/23/22,0,45,39,2,1,1,Departamento,"50
años",Venta,Capital Federal,Constitución,simple
,56000,6/24/22,0,43,43,2,0,1,Departamento,,Venta,Capital Federal,Once,simple
,139000,2/14/23,0,50,42,2,1,1,Departamento,"8
años",Venta,Capital Federal,Villa Urquiza,destacado
,108360,7/14/20,25,44,32,1,1,0,Departamento,0 años,Venta,Capital Federal,Belgrano,simple
,175000,6/4/21,22,47,44,1,1,0,Departamento,"1
años",Venta,Capital Federal,Palermo,superdestacado
Departamento · 57m² · 3 Ambientes,128000,2023-07-31T19:06:07.000Z,49,63,57,3,1,2,Departamento,"50
años",Venta,Capital Federal,Barrio Norte,simple
Departamento · 57m² · 3 Ambientes · 1 Cochera,215000,2023-09-06T00:13:25.000Z,86,62,57,3,1,2,Departamento,"15
años",Venta,Capital Federal,Palermo,superdestacado
Departamento · 46m² · 2 Ambientes,79000,4/18/23,0,53,46,2,1,1,Departamento,"45
años",Venta,Capital Federal,San Cristobal,superdestacado
Departamento · 50m² · 3 Ambientes,99900,7/11/22,0,50,50,3,1,2,Departamento,"30
años",Venta,Capital Federal,Retiro,simple
,85500,3/24/23,0,33,29,1,1,0,Departamento,En construccion,Venta,Capital Federal,Colegiales,simple
,420000,11/16/22,37,125,118,3,1,2,Departamento,"70
años",Venta,Capital Federal,Recoleta,simple
,630000,7/7/22,29,458,458,5,3,4,Casa,"1
años",Venta,Capital Federal,Caballito,simple
,50000,12/5/22,19,28,22,2,1,1,PH,"60
años",Venta,Capital Federal,Barracas,simple
Departamento · 67m² · 3 Ambientes,119900,10/19/22,0,86,67,3,2,2,Departamento,En construccion,Venta,Capital Federal,San Cristobal,simple
